epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.284,0.39716,0.30103,0.94056,0.4949,0.5,0.49592,0.47245,0.30737,0.26809,0.69918,0.000990365,0.000990365,0.000990365
43,292.415,0.39785,0.30821,0.9257,0.48008,0.5,0.4945,0.48174,0.27882,0.28223,0.69362,0.000973861,0.000973861,0.000973861
44,298.489,0.39493,0.29966,0.93983,0.99536,0.5,0.49656,0.48469,0.29457,0.25295,0.69207,0.000957358,0.000957358,0.000957358
45,304.662,0.38256,0.29879,0.9296,0.49549,0.49984,0.49653,0.47717,0.30536,0.26243,0.70117,0.000940855,0.000940855,0.000940855
46,310.814,0.37304,0.29142,0.9248,0.49474,0.5,0.49554,0.48554,0.26998,0.23751,0.68982,0.000924352,0.000924352,0.000924352
47,316.971,0.37754,0.2958,0.9297,0.49321,0.5,0.49593,0.48798,0.27784,0.24702,0.69242,0.000907848,0.000907848,0.000907848
48,323.068,0.38879,0.30093,0.92597,0.49528,0.5,0.49706,0.48611,0.27522,0.25358,0.69641,0.000891345,0.000891345,0.000891345
49,329.223,0.3732,0.29221,0.92328,0.4948,0.5,0.49661,0.49022,0.25041,0.23751,0.68134,0.000874842,0.000874842,0.000874842
50,335.396,0.38315,0.29227,0.92439,0.4952,0.5,0.49665,0.48511,0.29185,0.25315,0.69192,0.000858338,0.000858338,0.000858338
51,341.489,0.3699,0.2904,0.92841,0.49536,0.5,0.49616,0.48239,0.26233,0.24346,0.68682,0.000841835,0.000841835,0.000841835
52,347.935,0.37162,0.29398,0.92135,0.49536,0.5,0.49583,0.48621,0.28875,0.26171,0.69262,0.000825332,0.000825332,0.000825332
53,354.176,0.37659,0.29414,0.93341,0.49535,0.5,0.49623,0.48598,0.25855,0.24396,0.68694,0.000808828,0.000808828,0.000808828
54,360.945,0.36797,0.28587,0.92519,0.49519,0.5,0.49535,0.48206,0.29438,0.24822,0.6968,0.000792325,0.000792325,0.000792325
55,368.261,0.3596,0.28522,0.92323,0.49535,0.5,0.4957,0.48754,0.2424,0.23073,0.68287,0.000775822,0.000775822,0.000775822
56,375.734,0.36821,0.28026,0.92663,0.99536,0.5,0.49547,0.48056,0.27579,0.23201,0.69172,0.000759318,0.000759318,0.000759318
57,382.789,0.35882,0.27816,0.92423,0.49537,0.5,0.49518,0.48326,0.26692,0.23656,0.68595,0.000742815,0.000742815,0.000742815
58,389.872,0.3458,0.27173,0.91894,0.49537,0.5,0.49547,0.48756,0.23714,0.21618,0.67696,0.000726312,0.000726312,0.000726312
59,396.116,0.34642,0.27133,0.92271,0.49536,0.5,0.49613,0.48428,0.26098,0.22348,0.68526,0.000709809,0.000709809,0.000709809
60,402.406,0.34801,0.28111,0.92457,0.49537,0.5,0.49608,0.48523,0.26896,0.21639,0.68399,0.000693305,0.000693305,0.000693305
61,408.912,0.35131,0.27362,0.92639,0.49504,0.5,0.49663,0.48894,0.24626,0.22629,0.68043,0.000676802,0.000676802,0.000676802
62,415.156,0.33333,0.26355,0.90636,0.49535,0.5,0.49602,0.48823,0.26251,0.2299,0.68692,0.000660299,0.000660299,0.000660299
63,421.535,0.3587,0.27397,0.92695,0.49487,0.5,0.49684,0.48903,0.25727,0.22947,0.68382,0.000643795,0.000643795,0.000643795
64,428.006,0.35228,0.26833,0.91669,0.49533,0.5,0.49623,0.48931,0.2625,0.22183,0.6872,0.000627292,0.000627292,0.000627292
65,434.452,0.34149,0.26263,0.91717,0.49536,0.5,0.49683,0.48954,0.25939,0.21536,0.6852,0.000610789,0.000610789,0.000610789
66,440.817,0.33673,0.2635,0.9117,0.49537,0.5,0.49642,0.48793,0.24834,0.21712,0.68209,0.000594286,0.000594286,0.000594286
67,447.22,0.34326,0.2649,0.9115,0.49536,0.5,0.49704,0.48705,0.25518,0.21891,0.68198,0.000577782,0.000577782,0.000577782
